-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1009.0     25   24.4   22.9     91  17.78      0      0  296.8  348.3  299.9
 1004.0     58   23.8   22.4     92  17.32     80      3  296.6  346.8  299.7
 1000.0     84   24.2   22.1     88  17.07    145      6  297.4  346.9  300.4
  981.0    253   24.4   22.4     89  17.74    129      6  299.2  351.1  302.4
  976.0    298   24.1   22.1     88  17.46    125      6  299.4  350.6  302.5
  943.0    599   22.4   19.9     85  15.72     50      3  300.6  346.9  303.4
  935.0    674   22.0   19.3     85  15.31      1      3  300.9  346.1  303.6
  925.0    768   21.6   18.2     81  14.43    300      3  301.4  344.1  304.0
  911.0    901   21.7   14.2     62  11.25    265      6  302.8  336.5  304.9
  903.0    978   21.8   11.8     53   9.71    261      6  303.7  332.9  305.4
  850.0   1501   18.8   10.8     60   9.66    235      4  305.8  335.2  307.6
  839.0   1613   18.0   13.0     73  11.34    237      5  306.1  340.5  308.2
  821.0   1798   17.7    7.9     53   8.21    240      7  307.7  333.0  309.3
  813.0   1882   17.6    5.6     45   7.06    243      8  308.5  330.4  309.8
  765.0   2395   14.7    3.5     47   6.47    260     12  310.7  331.0  311.9
  712.0   3001   11.2    1.0     49   5.81    300     20  313.4  331.9  314.4
  700.0   3144   10.4    0.4     50   5.66    295     22  314.0  332.1  315.0
  593.0   4497    1.1   -3.6     71   4.95    300     17  318.4  334.6  319.3
  582.0   4650    0.0   -4.1     74   4.88    306     17  318.8  334.8  319.8
  550.0   5099   -2.6   -4.5     87   5.00    325     15  320.9  337.4  321.9
  531.0   5378   -4.3   -4.8     96   5.07      8     14  322.1  339.0  323.1
  530.0   5393   -4.4   -4.9     96   5.05     10     14  322.2  339.0  323.2
  500.0   5850   -6.7   -7.1     97   4.52     50     12  324.8  340.0  325.7
  472.0   6295   -9.3  -10.0     94   3.80     85     15  327.0  340.1  327.8
  410.0   7383  -15.5  -17.2     87   2.44    108     24  332.4  341.1  332.9
  404.0   7495  -15.6  -18.3     80   2.26    110     25  333.6  341.8  334.1
  400.0   7570  -15.7  -19.0     76   2.14    110     26  334.5  342.3  334.9
  398.0   7608  -15.5  -19.7     70   2.03    110     26  335.2  342.6  335.6
  358.0   8390  -21.0  -25.6     66   1.34    100     29  338.2  343.2  338.4
  344.0   8685  -23.1  -27.8     65   1.14    100     33  339.2  343.6  339.5
  322.0   9173  -26.5  -31.5     63   0.86     93     37  340.9  344.3  341.1
  300.0   9680  -30.7  -34.2     71   0.71     85     41  342.0  344.8  342.1
  289.0   9945  -32.9  -35.1     81   0.67     82     40  342.5  345.2  342.7
  259.0  10708  -39.3  -42.5     72   0.35     73     37  344.0  345.5  344.1
  254.0  10842  -40.3  -45.1     60   0.27     71     36  344.4  345.6  344.5
  250.0  10950  -41.1  -45.9     60   0.25     70     36  344.8  345.9  344.9
  234.0  11386  -45.0  -49.8     59   0.17     75     45  345.5  346.2  345.5
  213.0  12005  -50.6  -55.2     58   0.10     75     53  346.2  346.7  346.2
  200.0  12420  -54.3  -58.9     57   0.07     70     53  346.6  346.9  346.6
  171.0  13405  -63.3  -69.3     44   0.02     70     61  347.6  347.7  347.6
  160.0  13808  -66.3  -72.8     40   0.01     70     65  349.1  349.2  349.1
  150.0  14200  -69.3  -76.3     36   0.01     65     74  350.5  350.6  350.5
  145.0  14399  -71.1  -77.7     37   0.01     60     74  350.8  350.9  350.8
  137.0  14733  -74.1  -80.1     39   0.00     64     76  351.2  351.3  351.2
  132.0  14947  -75.9  -81.9     39   0.00     67     78  351.8  351.8  351.8
  127.0  15169  -76.9  -84.9     27   0.00     70     80  353.9  353.9  353.9
  119.0  15543  -74.7  -85.7     17   0.00     74     83  364.6  364.6  364.6
  118.0  15592  -74.8  -85.8     17   0.00     75     83  365.2  365.2  365.2
  112.0  15893  -75.5  -86.5     17   0.00     90     67  369.4  369.4  369.4
  109.0  16050  -75.9  -86.9     16   0.00     90     59  371.6  371.6  371.6
  107.0  16156  -76.5  -87.5     16   0.00     90     53  372.4  372.4  372.4
  106.0  16211  -75.7  -87.2     15   0.00     90     50  374.9  374.9  374.9
  100.0  16550  -70.7  -85.7      9   0.00     90     33  390.9  390.9  390.9
   91.0  17101  -73.8  -88.8      9   0.00     95      9  395.4  395.4  395.4
   87.0  17364  -75.3  -90.3      8   0.00    335      2  397.5  397.5  397.5
   85.9  17438  -75.7  -90.7      8   0.00    335      3  398.1  398.1  398.1
   82.0  17711  -74.2  -90.5      7   0.00      5     10  406.6  406.6  406.6
   74.0  18314  -70.8  -90.1      4   0.00     50     12  425.9  425.9  425.9
   71.0  18557  -69.4  -90.0      4   0.00    100      5  433.9  433.9  433.9
   70.0  18640  -68.9  -89.9      3   0.00    115      4  436.6  436.7  436.6
   69.6  18674  -68.5  -89.5      4   0.00    135      4  438.2  438.2  438.2
   67.0  18901  -68.9  -90.6      3   0.00    270      6  442.1  442.2  442.1
   64.0  19175  -69.4  -91.8      3   0.00    275     16  446.9  446.9  446.9
   62.1  19355  -69.7  -92.7      2   0.00    300     12  450.1  450.1  450.1
   61.0  19462  -69.3  -92.9      2   0.00    315      9  453.3  453.3  453.3
   58.0  19766  -68.1  -93.5      2   0.00    245      4  462.5  462.5  462.5
   52.0  20423  -65.6  -94.8      1   0.00    310     14  482.9  483.0  482.9
   50.8  20563  -65.1  -95.1      1   0.00    316     16  487.4  487.4  487.4
   50.0  20660  -65.3  -95.3      1   0.00    320     17  489.2  489.2  489.2
   47.3  20999  -65.9  -96.9      1   0.00    324     21  495.6  495.6  495.6
   47.0  21038  -65.8  -96.9      1   0.00    325     21  496.6  496.6  496.6
   45.0  21304  -65.4  -97.2      1   0.00    350     21  503.8  503.8  503.8
   44.3  21399  -65.3  -97.3      1   0.00     14     21  506.4  506.4  506.4
   43.0  21584  -62.6  -95.4      1   0.00     60     20  517.4  517.4  517.4
   41.3  21835  -58.9  -92.9      1   0.00    101     20  532.5  532.6  532.5
   39.0  22196  -59.0  -93.0      1   0.00    160     21  541.0  541.0  541.0
   35.0  22877  -59.2  -93.2      1   0.00     95     25  557.4  557.5  557.4
   34.2  23023  -59.3  -93.3      1   0.00     91     31  561.0  561.0  561.0
   34.0  23060  -59.5  -93.4      1   0.00     90     32  561.5  561.5  561.5
   31.0  23636  -62.3  -95.5      0   0.00     85     44  568.9  568.9  568.9
   30.0  23840  -63.3  -96.3      0   0.00     80     46  571.5  571.5  571.5
   29.0  24049  -62.8  -95.8      0   0.00     80     51  578.5  578.5  578.5
   25.7  24793  -60.9  -93.9      1   0.00     85     59  604.2  604.2  604.2
   23.0  25491  -56.2  -90.8      1   0.00     90     66  637.4  637.5  637.4
   22.3  25685  -54.9  -89.9      1   0.01     90     69  646.9  647.0  647.0
   21.0  26068  -54.4  -89.3      1   0.01     90     74  659.8  659.9  659.8
   20.0  26380  -53.9  -88.9      1   0.01     85     73  670.4  670.5  670.4
   19.8  26444  -54.3  -89.3      1   0.01     85     73  671.1  671.2  671.1
   17.0  27440  -48.3  -93.3      0   0.00     90     75  720.3  720.3  720.3
   16.6  27595  -47.4  -93.9      0   0.00     90     75  728.2  728.3  728.2
   16.0  27836  -45.9  -94.9      0   0.00                740.6  740.7  740.6
